OBJECTID,Site_Name,State,latitude,longitude,Operational_Status,Reporting_Component,Is_Joint_Base,timezone,current_time,current_temperature_2m,current_relative_humidity_2m,current_apparent_temperature,current_is_day,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_cloud_cover,current_pressure_msl,current_surface_pressure,current_wind_speed_10m,current_wind_direction_10m,current_wind_gusts_10m
70,Bradley Air National Guard Base,,41.93888888888888,-72.68333333333334,act,xlsx,,America/New_York,2026-03-03T11:00,27.6,78,22.2,1,0.0,0.0,0.0,0.0,3,100,1033.8,1027.2,1.1,90,15.8
71,Brunswick Air National Guard Station,,31.2475,-10.358055555555556,act,xlsx,,Etc/GMT+1,2026-03-03T15:00,54.9,84,48.9,1,0.7,0.0,0.7,0.0,95,100,1010.2,1010.2,22.9,254,32.0
72,Burlington Air National Guard Base,,44.47277777777778,-73.14666666666668,act,xlsx,,America/New_York,2026-03-03T11:00,33.3,58,22.4,1,0.0,0.0,0.0,0.0,3,95,1030.0,1017.1,23.7,171,43.6
73,Camp Murray Air National Guard Station,,47.11805555555556,-122.56,act,xlsx,,America/Los_Angeles,2026-03-03T08:00,46.5,87,41.8,1,0.0,0.0,0.0,0.0,3,100,1017.9,1007.9,11.2,230,23.0
74,Camp Rilea,,46.12916666666667,-123.94388888888888,act,xlsx,,America/Los_Angeles,2026-03-03T08:00,49.2,96,43.4,1,0.0,0.0,0.0,0.0,3,100,1018.2,1015.3,20.2,221,37.8
75,Capital Airport Air National Guard Station,,39.844166666666666,-89.67805555555556,act,xlsx,,America/Chicago,2026-03-03T10:00,39.5,98,34.8,1,0.1,0.1,0.0,0.0,51,100,1018.1,996.1,7.7,143,16.2
76,Channel Islands Air National Guard Station,,34.115,-119.11027777777775,act,xlsx,,America/Los_Angeles,2026-03-03T08:00,57.8,90,55.7,1,0.0,0.0,0.0,0.0,0,4,1016.7,1016.3,14.1,148,22.3
77,Charlotte Air National Guard Base,,35.21611111111111,-80.93194444444445,act,xlsx,,America/New_York,2026-03-03T11:00,45.1,88,41.4,1,0.0,0.0,0.0,0.0,3,100,1030.1,1002.4,6.3,31,6.8
78,Dallas Air Guard Station,,32.74,-96.97,act,xlsx,,America/Chicago,2026-03-03T10:00,71.5,73,69.1,1,0.0,0.0,0.0,0.0,3,100,1014.2,997.1,25.8,195,45.4
79,Des Moines Air National Guard Base,,41.53833333333333,-93.65944444444445,act,xlsx,,America/Chicago,2026-03-03T10:00,40.8,87,36.1,1,0.0,0.0,0.0,0.0,3,100,1017.7,982.3,6.8,148,12.2
